Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Modi, Chirag; Boehm, Vanessa; Ferraro, Simone; Stein, George; Seljak, Uroš; ",How deadly is COVID-19? A rigorous analysis of excess mortality and age-dependent fatality rates in Italy,MedRxiv,,,2020.04. 15.20067074,2020,Cold Spring Harbor Laboratory Press
"Lloyd-Sherlock, Peter; Ebrahim, Shah; Martínez, Ramón; McKee, Martin; Acosta, Enrique; Sempé, Lucas; ",Estimation of all-cause excess mortality by age-specific mortality patterns of COVID-19 pandemic in Peru in 2020,Available at SSRN 3820553,,,,2021,
"Da Silva, Ricardo Eccard; Novaes, Maria Rita Carvalho Garbi; De Oliveira, Cesar; Guilhem, Dirce Bellezi; ",National governance and excess mortality due to COVID-19 in 213 countries: a retrospective analysis and perspectives on future pandemics,Globalization and Health,19,1,80,2023,Springer
"Goujon, Anne; Natale, Fabrizio; Ghio, Daniela; Conte, Alessandra; ",Demographic and territorial characteristics of COVID-19 cases and excess mortality in the European Union during the first wave,Journal of Population Research,39,4,533-556,2022,Springer
"Natarajan, Subramanian; Subramanian, Poonam; ",Systematic Review of Excess Mortality in India during the Covid-19 Pandemic with Differentiation between Model-Based and Data-Based Mortality Estimates,Indian Journal of Community Medicine: Official Publication of Indian Association of Preventive & Social Medicine,47,4,491,2022,Wolters Kluwer--Medknow Publications
"Wollschläger, Daniel; Schmidtmann, Irene; Fückel, Sebastian; Blettner, Maria; Gianicolo, Emilio; ",Explaining the age-adjusted excess mortality with COVID-19-attributed deaths from January 2020 to July 2021,"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",65,3,378-387,2021,
"Ackley, Calvin A; Lundberg, Dielle J; Elo, Irma T; Preston, Samuel H; Stokes, Andrew C; ",County-level estimates of excess mortality associated with COVID-19 in the United States,MedRxiv,,,2021.04. 23.21255564,2021,Cold Spring Harbor Laboratory Press
"Vidaurre, Tatiana; Enriquez-Vera, Daniel; Al-kassab-Córdova, Ali; Lachira-Yparraguirre, Lizbeth; Bertani, Stéphane; ",Excess mortality in patients with cancer during the COVID-19 pandemic in Peru: an analysis of death registry data,The Lancet Oncology,23,,S28,2022,Elsevier
"Faust, Jeremy Samuel; Renton, Benjamin; Chen, Alexander Junxiang; Du, Chengan; Liang, Chenxue; Li, Shu-Xia; Lin, Zhenqiu; Krumholz, Harlan M; ",Uncoupling of all-cause excess mortality from COVID-19 cases in a highly vaccinated state,The Lancet Infectious Diseases,22,10,1419-1420,2022,Elsevier
"Barnwal, Prabhat; Yao, Yuling; Wang, Yiqian; Juy, Nishat Akter; Raihan, Shabib; Haque, Mohammad Ashraful; van Geen, Alexander; ",Assessment of excess mortality and household income in rural Bangladesh during the COVID-19 pandemic in 2020,JAMA Network Open,4,11,e2132777-e2132777,2021,American Medical Association
"Ch, Pallavi; Middleton, John; ",Understanding the concept of excess mortality; Analysis of direct and indirect effects of COVID-19 on cancer care services in the United Kingdom,,,,,,
"Pasquariello, Paolo; Stranges, Saverio; ",Excess mortality from covid-19: Lessons learned from the italian experience,,,,,2020,MDPI AG
"Weinberger, Daniel M; Rose, Liam; Rentsch, Christopher; Asch, Steven M; Columbo, Jesse A; King, Joseph; Korves, Caroline; Lucas, Brian P; Taub, Cynthia; Young-Xu, Yinong; ",Excess Mortality Among Patients in the Veterans Affairs Health System Compared With the Overall US Population During the First Year of the COVID-19 Pandemic,JAMA Network Open,6,5,e2312140-e2312140,2023,American Medical Association
"Fantin, Romain; Barboza-Solís, Cristina; Hildesheim, Allan; Herrero, Rolando; ",Excess mortality from COVID 19 in Costa Rica: a registry based study using Poisson regression,The Lancet Regional Health–Americas,20,,,2023,Elsevier
"Miles, Amy; Webb, Thomas E; Mcloughlin, Benjamin C; Mannan, Imran; Rather, Arshad; Knopp, Paul; Davis, Daniel; ",Outcomes from COVID-19 across the range of frailty: excess mortality in fitter older people,European geriatric medicine,11,,851-855,2020,Springer
"Gibertoni, Dino; Adja, Kadjo Yves Cedric; Golinelli, Davide; Reno, Chiara; Regazzi, Luca; Lenzi, Jacopo; Sanmarchi, Francesco; Fantini, Maria Pia; ",Patterns of COVID-19 related excess mortality in the municipalities of Northern Italy during the first wave of the pandemic,Health & place,67,,102508,2021,Elsevier
"Oduor, Clifford; Audi, Allan; Kiplangat, Samwel; Auko, Joshua; Ouma, Alice; Aol, George; Nasimiyu, Carolyne; O. Agogo, George; Lo, Terrence; Munyua, Peninah; ","Estimating excess mortality during the COVID-19 pandemic from a population-based infectious disease surveillance in two diverse populations in Kenya, March 2020-December 2021",PLOS Global Public Health,3,8,e0002141,2023,"Public Library of Science San Francisco, CA USA"
"Weinberger, Daniel M; Bhaskaran, Krishnan; Korves, Caroline; Lucas, Brian P; Columbo, Jesse A; Vashi, Anita; Davies, Louise; Justice, Amy C; Rentsch, Christopher T; ",Excess mortality in US Veterans during the COVID-19 pandemic: an individual-level cohort study,International Journal of Epidemiology,52,6,1725-1734,2023,Oxford University Press
"Jering, Karola S; McGrath, Martina M; Mc Causland, Finnian R; Claggett, Brian; Cunningham, Jonathan W; Solomon, Scott D; ",Excess mortality in solid organ transplant recipients hospitalized with COVID‐19: A large‐scale comparison of SOT recipients hospitalized with or without COVID‐19,Clinical Transplantation,36,1,e14492,2022,Wiley Online Library
"Aron, Janine; Muellbauer, John; ",Excess Mortality Versus COVID‐19 Death Rates: A Spatial Analysis of Socioeconomic Disparities and Political Allegiance Across US States,Review of Income and Wealth,68,2,348-392,2022,Wiley Online Library
"Ramírez-Soto, Max Carlos; Salazar-Peña, Mariangel; Vargas-Herrera, Javier; ","Estimating Excess Mortality Due to Prostate, Breast, and Uterus Cancer during the COVID-19 Pandemic in Peru: A Time Series Analysis",International Journal of Environmental Research and Public Health,20,6,5156,2023,MDPI
"McGovern, Andrew P; Thomas, Nick J; Vollmer, Sebastian J; Hattersley, Andrew T; Mateen, Bilal A; Dennis, John M; ",The disproportionate excess mortality risk of COVID-19 in younger people with diabetes warrants vaccination prioritisation,Diabetologia,64,5,1184-1186,2021,Springer
"Muellbauer, John; Aron, Janine; ",Measuring excess mortality: the case of England during the Covid-19 pandemic,Institute for New Economic Thinking,,,,2020,
"Soares, Gustavo Hermes; Jamieson, Lisa; Biazevic, Maria Gabriela Haye; Michel-Crosato, Edgard; ",Disparities in excess mortality between Indigenous and non-Indigenous Brazilians in 2020: measuring the effects of the COVID-19 pandemic,Journal of racial and ethnic health disparities,,,1-10,2021,Springer
"Greenwald, Scott D; Chamoun, Nassib G; Manberg, Paul J; Gray, Josh; Clain, David; Maheshwari, Kamal; Sessler, Daniel I; ",Covid-19 and excess mortality in medicare beneficiaries,Plos one,17,2,e0262264,2022,"Public Library of Science San Francisco, CA USA"
"Wrigley-Field, Elizabeth; Garcia, Sarah; Leider, Jonathon P; Robertson, Christopher; Wurtz, Rebecca; ",Racial disparities in COVID-19 and excess mortality in Minnesota,Socius,6,,2378023120980918,2020,"SAGE Publications Sage CA: Los Angeles, CA"
"Panagiotakos, Demosthenes; Tsiampalis, Thomas; ",Excess mortality in Greece during 2020: the role of COVID-19 and cardiovascular disease,Hellenic Journal of Cardiology,62,5,378,2021,Elsevier
"Hay, Simon I; Murray, Christopher JL; ",Conflicting COVID-19 excess mortality estimates–Authors' reply,The Lancet,401,10375,433-434,2023,Elsevier
"Hardy, Olivier J; Dubourg, Dominique; Bourguignon, Mélanie; Dellicour, Simon; Eggerickx, Thierry; Gilbert, Marius; Sanderson, Jean-Paul; Scohy, Aline; Vandael, Eline; Decroly, Jean-Michel; ",A world apart: levels and factors of excess mortality due to COVID-19 in care homes. The case of Wallonia-Belgium,MedRxiv,,,2020.08. 29.20183210,2020,Cold Spring Harbor Laboratory Press
"Acosta, Rolando J; Patnaik, Biraj; Buckee, Caroline; Kiang, Mathew V; Irizarry, Rafael A; Balsari, Satchit; Mahmud, Ayesha; ","All-cause excess mortality across 90 municipalities in Gujarat, India, during the COVID-19 pandemic (March 2020-April 2021)",PLOS global public health,2,8,e0000824,2022,"Public Library of Science San Francisco, CA USA"
"Heuveline, Patrick; ","The COVID-19 pandemic adds another 200,000 deaths (50%) to the annual toll of excess mortality in the United States",Proceedings of the National Academy of Sciences,118,36,e2107590118,2021,National Acad Sciences
"Pikala, Małgorzata; Krzywicka, Małgorzata; Burzyńska, Monika; ",Excess mortality in Poland during the first and second wave of the COVID-19 pandemic in 2020,Frontiers in public health,10,,1048659,2022,Frontiers Media SA
"Konstantinoudis, Garyfallos; Cameletti, Michela; Gómez-Rubio, Virgilio; León Gómez, Inmaculada; Pirani, Monica; Baio, Gianluca; Larrauri, Amparo; Riou, Julien; Egger, Matthias; Vineis, Paolo; ",Regional excess mortality during the 2020 COVID-19 pandemic: a study of five European countries,medRxiv,,,2021.10. 18.21264686,2021,Cold Spring Harbor Laboratory Press
"Kim, Jin-Hwan; Kim, Saerom; Park, Eunhye; Kim, Chang-yup; ","Inequitable distribution of excess mortality during the COVID-19 pandemic in Korea, 2020",Epidemiology and health,44,,,2022,Korean Society of Epidemiology
"Charron, Nicholas; Lapuente, Victor; Rodriguez-Pose, Andrés; ","Uncooperative society, uncooperative politics or both? How trust, polarization and populism explain excess mortality for COVID-19 across European regions",,,,,2020,
"Feyman, Yevgeniy; Avila, Cecille Joan; Auty, Samantha; Mulugeta, Martha; Strombotne, Kiersten; Legler, Aaron; Griffith, Kevin; ",Racial and ethnic disparities in excess mortality among US veterans during the COVID‐19 pandemic,Health Services Research,58,3,642-653,2023,Wiley Online Library
"Urbonaite, Miglė; ",Evaluation of non-pharmaceutical intervention effectiveness in Covid-19 pandemic by using excess mortality metric,,,,,2021,
"Kurita, Junko; Sugawara, Tamie; Ohkusa, Yasushi; ",Excess mortality by suicide caused by COVID-19 in Japan,Journal of disaster research,17,1,51-56,2022,Fuji Technology Press Ltd.
"Bando, Hiroshi; ",Fewer annual deaths in Japan with negative excess mortality for COVID-19,Asploro Journal of Biomedical and Clinical Case Reports,4,1,84,2021,Asploro
"Hua, Cassandra L; Cornell, Portia Y; Zimmerman, Sheryl; Carder, Paula; Thomas, Kali S; ",Excess mortality among assisted living residents with dementia during the COVID-19 pandemic,Journal of the American Medical Directors Association,23,10,1743-1749. e6,2022,Elsevier
"Cardoso, Jorge Manuel Félix; ",Excess Mortality During Covid-19 in 5 European Countries and a Critique of Mortality Data Analysis,,,,,2020,Universidade do Porto (Portugal)
"Hossain, Mohammad Sorowar; Khan, Jahidur Rahman; Al Mamun, SM Abdullah; Islam, Mohammad Tariqul; Raheem, Enayetur; ",Excess mortality associated with the COVID-19 pandemic (2020-2021) in an urban community of Bangladesh,medRxiv,,,2022.11. 19.22281995,2022,Cold Spring Harbor Laboratory Press
"Zhou, Feng; Hu, Tao-Jun; Zhang, Xiao-Yu; Lai, Keng; Chen, Jun-Hu; Zhou, Xiao-Hua; ","The association of intensity and duration of non-pharmacological interventions and implementation of vaccination with COVID-19 infection, death, and excess mortality: Natural experiment in 22 European countries",Journal of Infection and Public Health,15,5,499-507,2022,Elsevier
"Molenberghs, Geert; Faes, Christel; Aerts, Jan; Theeten, Heidi; Devleesschauwer, Brecht; Sierra, Natalia Bustos; Braeye, Toon; Renard, Francoise; Herzog, Sereina; Lusyne, Patrick; ","Belgian covid-19 mortality, excess deaths, number of deaths per million, and infection fatality rates (8 March-9 May 2020)",MedRxiv,,,2020.06. 20.20136234,2020,Cold Spring Harbor Laboratory Press
"Bertoli, Simone; Guichard, Lucas; Marchetta, Francesca; ",Turnout in the municipal elections of march 2020 and excess mortality during the COVID-19 epidemic in France,,,,,2020,IZA Discussion Paper
"Agrawal, Virat; Cantor, Jonathan; Sood, Neeraj; Whaley, Christopher; ",The impact of COVID‐19 shelter‐in‐place policy responses on excess mortality,Health Economics,32,11,2499-2515,2023,Wiley Online Library
"Golinelli, D; Lenzi, J; Adja, KYC; Reno, C; Sanmarchi, F; Fantini, MP; Gibertoni, D; ",Small-scale spatial analysis shows the specular distribution of excess mortality between the first and second wave of the COVID-19 pandemic in Italy,Public Health,194,,182-184,2021,Elsevier
"Lupi, Saturnino Marco; Todaro, Claudia; Camassa, Domenico; Rizzo, Silvana; Storelli, Stefano; Rodriguez y Baena, Ruggero; ",Excess Mortality among Physicians and Dentists during COVID-19 in Italy: A Cross-Sectional Study Related to a High-Risk Territory,Healthcare,10,9,1684,2022,MDPI
"Acosta, Rolando J; Patnaik, Biraj; Buckee, Caroline; Kiang, Mathew V; Irizarry, Rafael A; Balsari, Satchit; Mahmud, Ayesha S; ","All-cause excess mortality in the State of Gujarat, India, during the COVID-19 pandemic (March 2020-April 2021)",medRxiv,,,2021.08. 22.21262432,2021,Cold Spring Harbor Laboratory Press
"Bumburidi, Yekaterina; Dzhalimbekova, Altynai; Malisheva, Marina; Moolenaar, Ronald L; Horth, Roberta; Singer, Daniel; Otorbaeva, Dinagul; ","Excess deaths directly and indirectly attributable to COVID-19 using routinely reported mortality data, Bishkek, Kyrgyzstan, 2020: a cross-sectional study",BMJ open,13,7,e069521,2023,British Medical Journal Publishing Group
"Snyder, Mallika; Alburez-Gutierrez, Diego; Williams, Iván; Zagheni, Emilio; ",Estimates from 31 countries show the significant impact of COVID-19 excess mortality on the incidence of family bereavement,Proceedings of the National Academy of Sciences,119,26,e2202686119,2022,National Acad Sciences
"Morfeld, P; Timmermann, B; Groß, JV; DeMatteis, S; Campagna, M; Lewis, P; Cocco, P; Erren, TC; ",COVID-19: Spatial resolution of excess mortality in Germany and Italy,Journal of Infection,82,3,414-451,2021,Elsevier
"Quast, Troy; Andel, Ross; ",Excess mortality and potential undercounting of COVID-19 deaths by demographic group in Ohio,medRxiv,,,2020.06. 28.20141655,2020,Cold Spring Harbor Laboratory Press
"Islam, Dear Dr; ",Excess deaths and mortality displacement during the COVID-19 pandemic: age-and-sex-disaggregated time-series analysis in 29 high-income countries,BMJ,2021,,065519,2021,
"Nørgaard, Sarah K; Vestergaard, Lasse S; Nielsen, Jens; Richter, Lukas; Schmid, Daniela; Bustos, Natalia; Braye, Toon; Athanasiadou, Maria; Lytras, Theodore; Denissov, Gleb; ","Real-time monitoring shows substantial excess all-cause mortality during second wave of COVID-19 in Europe, October to December 2020",Eurosurveillance,26,2,2002023,2021,European Centre for Disease Prevention and Control
"Weinberger, Daniel M; Bhaskaran, Krishnan; Korves, Caroline; Lucas, Brian P; Columbo, Jesse A; Vashi, Anita; Davies, Louise; Justice, Amy C; Rentsch, Christopher T; ",Absolute and relative excess mortality across demographic and clinical subgroups during the COVID-19 pandemic: an individual-level cohort study from a nationwide healthcare system of US Veterans,medRxiv,,,2023.05. 12.23289900,2023,Cold Spring Harbor Laboratory Press
"Fetzer, Thiemo; Rauh, Christopher; ",Quantifying excess mortality among non COVID-19 patients in healthcare settings,,,,,2022,"Faculty of Economics, University of Cambridge"
"Rypdal, Martin; Rypdal, Kristoffer; Løvsletten, Ola; Sørbye, Sigrunn Holbek; Ytterstad, Elinor; Bianchi, Filippo Maria; ",Estimation of excess mortality and years of life lost to COVID-19 in Norway and Sweden between March and November 2020,International Journal of Environmental Research and Public Health,18,8,3913,2021,MDPI
"Neumayer, Eric; Plümper, Thomas; ",Does ‘Data fudging’explain the autocratic advantage? Evidence from the gap between Official Covid-19 mortality and excess mortality,SSM-Population Health,19,,101247,2022,Elsevier
"Dorrucci, Maria; Minelli, Giada; Boros, Stefano; Manno, Valerio; Prati, Sabrina; Battaglini, Marco; Corsetti, Gianni; Andrianou, Xanthi; Riccardo, Flavia; Fabiani, Massimo; ","A population-based cohort approach to assess the excess mortality according to the spread of COVID-19 in Italy, January-May 2020: Excess mortality in 2020: a cohort approach",Annali dell'Istituto Superiore di Sanità,58,1,25-33,2022,
"Shin, Min Sun; Sim, Boram; Jang, Won Mo; Lee, Jin Yong; ",Estimation of excess all-cause mortality during COVID-19 pandemic in Korea,Journal of Korean medical science,36,39,,2021,The Korean Academy of Medical Sciences
"Verbeeck, Johan; Faes, Christel; Neyens, Thomas; Hens, Niel; Verbeke, Geert; Deboosere, Patrick; Molenberghs, Geert; ",A linear mixed model to estimate COVID‐19‐induced excess mortality,Biometrics,79,1,417-425,2023,Wiley Online Library
"Igari, András; ",Spatiotemporal inequalities of excess mortality in Europe during the first two years of the Covid-19 pandemic,Regional Statistics,13,03,510-535,2023,Központi Statisztikai Hivatal
"Weber, Alexej; ",Excess mortality analysis for Germany for all three COVID-19 waves in 2020-2021,medRxiv,,,2021.07. 06.21260105,2021,Cold Spring Harbor Laboratory Press
"Gallo, Elisa; Prosepe, Ilaria; Lorenzoni, Giulia; Acar, Aslihan Şentürk; Lanera, Corrado; Berchialla, Paola; Azzolina, Danila; Gregori, Dario; ",Excess of all-cause mortality is only partially explained by COVID-19 in Veneto (Italy) during spring outbreak,BMC Public Health,21,1,1-6,2021,BioMed Central
"Scherbov, Sergei; Gietel-Basten, Stuart; Ediev, Dalkhat; Shulgin, Sergey; Sanderson, Warren; ",COVID-19 and excess mortality in Russia: Regional estimates of life expectancy losses in 2020 and excess deaths in 2021,Plos one,17,11,e0275967,2022,"Public Library of Science San Francisco, CA USA"
"Mohammed, Nuredin I; Mackenzie, Grant; Ezeani, Esu; Sidibeh, Mamadi; Jammeh, Lamin; Sarwar, Golam; Saine, Aji Kumba Folawiyo; Sonko, Bakary; Gomez, Pierre; Dondeh, Bai Lamin; ",Quantifying excess mortality during the COVID-19 pandemic in 2020 in The Gambia: a time-series analysis of three health and demographic surveillance systems,International Journal of Infectious Diseases,128,,61-68,2023,Elsevier
"Faust, Jeremy Samuel; Renton, Benjamin; Du, Chengan; ",Massachusetts Data on Excess Mortality During the Delta and Omicron Waves of COVID-19,JAMA,328,19,1977-1978,2022,American Medical Association
"Riviello, Elisabeth D; Dechen, Tenzin; O’Donoghue, Ashley L; Cocchi, Michael N; Hayes, Margaret M; Molina, Rose L; Moraco, Nicole H; Mosenthal, Anne; Rosenblatt, Michael; Talmor, Noa; ","Assessment of a crisis standards of care scoring system for resource prioritization and estimated excess mortality by race, ethnicity, and socially vulnerable area during a regional surge in COVID-19",JAMA Network Open,5,3,e221744-e221744,2022,American Medical Association
"Duclos, Antoine; Cordier, Quentin; Polazzi, Stéphanie; Colin, Cyrille; Rimmelé, Thomas; Lifante, Jean-Christophe; Carty, Matthew J; Boyer, Laurent; ",Excess mortality among non-COVID-19 surgical patients attributable to the exposure of French intensive and intermediate care units to the pandemic,Intensive Care Medicine,49,3,313-323,2023,Springer
"Barnard, Sharmani; Fryers, Paul; Fitzpatrick, Justine; Fox, Sebastian; Waller, Zachary; Baker, Allan; Burton, Paul; Newton, John; Doyle, Yvonne; Goldblatt, Peter; ",Inequalities in excess premature mortality in England during the COVID-19 pandemic: a cross-sectional analysis of cumulative excess mortality by area deprivation and ethnicity,BMJ open,11,12,e052646,2021,British Medical Journal Publishing Group
"Bauer, Ramon; Speringer, Markus; Frühwirt, Peter; Seidl, Roman; Trautinger, Franz; ",Assessing excess mortality in Vienna and Austria after the first year of the COVID-19 pandemic,Vienna Yearbook of Population Research,20,1,393-414,2022,Vienna Institute of Demography (VID) of the Austrian Academy of Sciences in …
"Demetriou, Christiana A; ","Excess all-cause mortality and COVID-19 related mortality: a temporal analysis in 22 countries, from January until August 2020",,,,,,
"Mendoza-Cano, Oliver; Trujillo, Xóchitl; Huerta, Miguel; Ríos-Silva, Mónica; Guzmán-Esquivel, José; Lugo-Radillo, Agustin; Benites-Godínez, Verónica; Bricio-Barrios, Jaime Alberto; Cárdenas-Rojas, Martha Irazema; Ríos-Bracamontes, Eder Fernando; ",Assessing the Influence of COVID-19 Vaccination Coverage on Excess Mortality across 178 Countries: A Cross-Sectional Study,Vaccines,11,8,1294,2023,MDPI
"Chandra, Siddharth; Christensen, Julia; Chandra, Madhur; Paneth, Nigel; ",Pandemic reemergence and four waves of excess mortality coinciding with the 1918 influenza pandemic in Michigan: insights for COVID-19,American Journal of Public Health,111,3,430-437,2021,American Public Health Association
"desde a COVID, Excesso de Mortalidade; ",Excess Mortality since COVID-19: What Data Do We Need and What Questions Should We Ask to Understand its Causes in Portugal?,,,,,2022,
"Malouche, Dhafer; Ben Romdhane, Habiba; ",Estimating Excess Mortality Associated with COVID-19 Pandemic: a 151 cross-countries study,Estimating Excess Mortality Associated with COVID-19 Pandemic: A,151,,,2020,
"Alicandro, Gianfranco; Remuzzi, Giuseppe; Centanni, Stefano; Gerli, Alberto; La Vecchia, Carlo; ",Excess total mortality during the Covid-19 pandemic in Italy: updated estimates indicate persistent excess in recent months,La Medicina del Lavoro,113,2,,2022,Mattioli 1885
"De Nicola, Giacomo; Kauermann, Göran; ",An update on excess mortality in the second year of the COVID-19 pandemic in Germany,AStA Wirtschafts-und Sozialstatistisches Archiv,16,1,21-24,2022,Springer
"Esmaeilzadeh, Nayereh; Hoseini, Seyed Javad; Nejad-Bajestani, Majid Jafari; Shakeri, Mohammadtaghi; Mood, Zahra Izadi; Hoseinzadeh, Hamidreza; Dooghaee, Mohammad Hasan Derakhshan; ",Excess mortality in Northeast Iran caused by COVID-19: Neglect of offset community transformations of health,Asian Pacific Journal of Tropical Medicine,16,6,261-267,2023,Medknow
"Chen, Sylvia Xiaohua; Ye, Frank Tian-fang; Cheng, Kai Lam; Ng, Jacky CK; Lam, Ben CP; Hui, Bryant PH; Au, Algae KY; Wu, Wesley CH; Gu, Danan; Zeng, Yi; ",Social media trust predicts lower COVID-19 vaccination rates and higher excess mortality over 2 years,PNAS nexus,2,10,pgad318,2023,Oxford University Press US
"Edrus, Robiaatul Adawiah; Siri, Zailan; Haron, Mohd Azmi; Safari, Muhammad Aslam Mohd; Kaabar, Mohammed KA; ",A Comparative Analysis of the Forecasted Mortality Rate under Normal Conditions and the COVID-19 Excess Mortality Rate in Malaysia,Journal of Mathematics,2022,,,2022,Hindawi
"Tadbiri, Hooman; Moradi-Lakeh, Maziar; Naghavi, Mohsen; ",COVID-19 and all-cause excess mortality in Iran in spring 2020,Medical Journal of the Islamic Republic of Iran,34,,125,2020,Iran University of Medical Sciences
"Todd, Megan; Scheeres, Annaka; ","Excess Mortality From Non–COVID-19 Causes During the COVID-19 Pandemic in Philadelphia, Pennsylvania, 2020–2021",American journal of public health,112,12,1800-1803,2022,American Public Health Association
"Saraceni, Valeria; Cruz, Oswaldo Gonçalves; Cavalcante, João Roberto; Vieira, Fernanda Morena dos Santos Barbeiro; Cardoso, Bruno Baptista; Cruz, Débora Medeiros de Oliveira; Aguilar, Gislani Mateus Oliveira; Durovni, Betina; Soranz, Daniel; Garcia, Márcio Henrique de Oliveira; ","Excess mortality from all causes during the COVID-19 pandemic in the city of Rio de Janeiro, Brazil",Revista Brasileira de Epidemiologia,26,,,2023,SciELO Brasil
"Chen, Ruijia; Charpignon, Marie-Laure; Raquib, Rafeya V; Wang, Jingxuan; Meza, Erika; Aschmann, Hélène E; DeVost, Michelle A; Mooney, Alyssa; Bibbins-Domingo, Kirsten; Riley, Alicia R; ",Excess Mortality With Alzheimer Disease and Related Dementias as an Underlying or Contributing Cause During the COVID-19 Pandemic in the US,JAMA neurology,80,9,919-928,2023,American Medical Association
"Faust, Jeremy Samuel; Du, Chengan; Renton, Benjamin; Liang, Chenxue; Chen, Alexander Junxiang; Li, Shu-Xia; Lin, Zhenqiu; Nunez-Smith, Marcella; Krumholz, Harlan M; ","Two years of Covid-19: Excess mortality by age, region, gender, and race/ethnicity in the United States during the Covid-19 pandemic, March 1, 2020, through February 28, 2022",medRxiv,,,2022.08. 16.22278800,2022,Cold Spring Harbor Laboratory Press
"Kelly, Gabrielle; Petti, Stefano; Noah, Norman; ",Covid-19 and excess mortality rates not comparable across countries,medRxiv,,,2021.03. 31.21254689,2021,Cold Spring Harbor Laboratory Press
"Wijeysundera, Harindra C; Abdel-Qadir, Husam; Qiu, Feng; Manoragavan, Ragavie; Austin, Peter C; Kapral, Moira K; Kwong, Jeffrey C; Sun, Louise Y; Ross, Heather J; Udell, Jacob A; ","Relationship of frailty with excess mortality during the COVID-19 pandemic: a population-level study in Ontario, Canada",Aging Clinical and Experimental Research,34,10,2557-2565,2022,Springer
"Staub, Kaspar; Panczak, Radoslaw; Matthes, Katarina L; Floris, Joël; Berlin, Claudia; Junker, Christoph; Weitkunat, Rolf; Mamelund, Svenn-Erik; Egger, Matthias; Zwahlen, Marcel; ","Pandemic excess mortality in Spain, Sweden, and Switzerland during the COVID-19 pandemic in 2020 was at its highest since 1918",medRxiv,,,2021.08. 12.21261825,2021,Cold Spring Harbor Laboratory Press
"Polyakova, Maria; Udalova, Victoria; Kocks, Geoffrey; Genadek, Katie; Finlay, Keith; Finkelstein, Amy N; ",Racial Disparities In Excess All-Cause Mortality During The Early COVID-19 Pandemic Varied Substantially Across States: Study examines the geographic variation in excess all-cause mortality by race to better understand the impact of the COVID-19 pandemic.,Health Affairs,40,2,307-316,2021,
"Björnstedt, Mikael; ",Estimating COVID-19 contribution to total excess mortality,,,,,,
"Lloyd-Sherlock, Peter; Ebrahim, Shah; Martínez, Ramón; McKee, Martin; Acosta, Enrique; Sempé, Lucas; ",Estimation of All-Cause Excess Mortality by Age-Specific Mortality Patterns of COVID-19 Pandemic in Peru in 2020 (preprint),,,,,2021,
"Calderón-Larrañaga, Amaia; Vetrano, Davide L; Rizzuto, Debora; Bellander, Tom; Fratiglioni, Laura; Dekhtyar, Serhiy; ",High excess mortality during the COVID-19 outbreak in Stockholm Region areas with young and socially vulnerable populations,medRxiv,,,2020.07. 07.20147983,2020,Cold Spring Harbor Laboratory Press
"Adjiwanou, Vissého; Alam, Nurul; Alkema, Leontine; Asiki, Gershim; Bawah, Ayaga; Béguy, Donatien; Cetorelli, Valeria; Dube, Albert; Feehan, Dennis M; Fisker, Ane Baerent; ",Measuring excess mortality during the COVID-19 pandemic in low-and lower-middle income countries: the need for mobile phone surveys,,,,,2020,SocArXiv
"Ramasamy, Roshan; Milne, Kate; Bell, Deanne; Stoneham, Simon; Chevassut, Timothy; ",Molecular mechanisms for thrombosis risk in Black people: a role in excess mortality from COVID‐19,British journal of haematology,190,2,e78,2020,Wiley-Blackwell
"Annaka, Susumu; ",Good democratic governance can combat COVID-19-excess mortality analysis,International Journal of Disaster Risk Reduction,83,,103437,2022,Elsevier
"Tóth, Csaba; ",Age And Gender-Specific Excess Mortality During The Covid-19 Pandemic In Hungary In 2020,Theoretical and Practical Research in Economic Fields (TPREF),12,23,45-49,2021,ASERS Publishing
"Azevedo e Silva, Gulnar; Cordeiro Jardim, Beatriz; Brito dos Santos, Cleber Vinicius; ",Excess mortality in Brazil in times of Covid-19.,Revista Ciência & Saúde Coletiva,25,9,,2020,
"Pearson-Stuttard, Jonathan; Caul, Sarah; McDonald, Stuart; Whamond, Emily; Newton, John N; ",Excess mortality in England post Covid-19 pandemic: implications for secondary prevention,The Lancet Regional Health–Europe,36,,,2024,Elsevier
"Lytras, Theodore; Athanasiadou, Maria; Demetriou, Anna; Stylianou, Despina; Heraclides, Alexandros; Kalakouta, Olga; ",Lack of association between vaccination rates and excess mortality in Cyprus during the COVID-19 pandemic,Vaccine,41,18,2941-2946,2023,Elsevier
"Reshania, N; ",Excess mortality during the COVID-19 pandemic: a case study of Oxfordshire,,,,,2020,University of Oxford
"Bilinski, Alyssa; Emanuel, Ezekiel J; ",COVID-19 and excess all-cause mortality in the US and 18 comparison countries,Jama,324,20,2100-2102,2020,American Medical Association
"De Lusignan, Simon; Joy, Mark; Oke, Jason; McGagh, Dylan; Nicholson, Brian; Sheppard, James; Akinyemi, Oluwafunmi; Amirthalingam, Gayatri; Brown, Kevin; Byford, Rachel; ",Disparities in the excess risk of mortality in the first wave of COVID-19: cross sectional study of the English sentinel network,Journal of Infection,81,5,785-792,2020,Elsevier
